time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.01996197698e-06,-5.90941812491e-08,10.0064582948,6.28310867115,0.000659048790856,0.0,-8.04284141763e-05,-6.37690801239e-06,0.215259898588,-0.00396289567637,0.0269156388392,0.0,471.4984214635671,473.5728387069211,471.7305026111526,471.4244747535967
0.12000000000000001,-2.87520652671e-05,-3.06996261658e-06,10.0256673823,6.2830950692,0.0022234149777,0.0,-0.00103198355612,-0.000107794624636,0.424987732052,0.00635848838974,0.0243316234367,0.0,471.08029362880836,470.88056818035784,469.6238081935146,470.42358725434315
0.18,-0.000143381923043,-1.00378031812e-05,10.0546374795,2.20197507375e-05,0.00370917841731,0.0,-0.00294255936698,-9.66324170484e-05,0.540633563051,-0.00909482955206,0.0256111715671,0.0,441.8150120535973,441.92057698832576,442.859562391565,441.58682513487184
0.23999999999999996,-0.000392703717193,-1.73516425179e-05,10.0876557489,6.28250212482,0.00510029921256,0.0,-0.00550042683589,-0.000202936652754,0.55996540435,-0.0176853032358,0.0178297152123,0.0,412.0194914811147,411.33115311948865,410.3514252545409,409.5883585270068
0.3,-0.000834269298933,-4.74958111032e-05,10.1246187071,6.28187791246,0.00632705170388,0.0,-0.00933777416218,-0.000886204427313,0.672072687966,0.00119067655385,0.0252223313852,0.0,440.59963838899864,441.21029789813844,440.4593717013955,442.017554104285
0.36000000000000004,-0.00153573156571,-0.000128194396784,10.1685938472,6.28153225651,0.0073109190315,0.0,-0.0141887888583,-0.00181173790312,0.793687252642,-0.0256827077752,-0.0142054800771,0.0,445.3964390698302,442.16053822867724,445.7044305733722,443.503039886831
0.4200000000000001,-0.00256906874621,-0.000285438767373,10.2239515565,6.28045393342,0.00673146011869,0.0,-0.0201662242103,-0.00358940240284,1.05136896416,-0.0058345866604,-0.00183678575413,0.0,485.02371414339984,485.9517496604823,483.82265472864043,485.3145582045644
0.48000000000000015,-0.00393010460793,-0.000563522215871,10.2918972232,6.28033480677,0.00646304172155,0.0,-0.0251802290668,-0.00570464671663,1.21332858108,0.00477527280988,-0.010351869274,0.0,457.84589576255473,457.1680836019695,456.5848255308003,457.43044781866
0.5400000000000001,-0.00558187376298,-0.000967673553623,10.3691931422,6.28072960876,0.00611169288734,0.0,-0.0298259065425,-0.00772910561678,1.36303579924,0.00996521540487,0.00188812653168,0.0,453.2938387826089,454.27636931654223,453.74041772992206,454.1567319322766
0.6000000000000002,-0.00750363246343,-0.00148153689534,10.4548760104,6.28169973238,0.00586642610237,0.0,-0.0342290148081,-0.00931349737414,1.49289924859,0.0263406423964,-0.0200514031688,0.0,448.6993916677857,446.91495656735907,447.7573708576724,449.08738979583217
0.6600000000000003,-0.00967086958154,-0.00206430682281,10.5468782189,0.000101574135282,0.00478360251728,0.0,-0.0378986047152,-0.00995500000625,1.57373382887,0.0266751972095,-0.0143130505255,0.0,432.4533396238677,432.93643664846246,433.28483635998515,433.31312820039415
0.7200000000000003,-0.0120659834469,-0.00265073865803,10.6498544577,0.00117957405193,0.00358450047719,0.0,-0.0418081487539,-0.00940379799668,1.85839014735,-0.01176091305,-0.0348386146149,0.0,495.75533451663796,494.24502911912026,495.12139161407407,492.2857002623218
0.7800000000000004,-0.0146479334297,-0.00319084974525,10.7666857643,8.33254137165e-05,0.00122782794047,0.0,-0.0440060013727,-0.00869668895397,2.03568911371,-0.0363123792338,-0.0500928449925,0.0,464.6297431226454,463.4315964773871,465.0491818509044,463.1222330609523
0.8400000000000004,-0.0173067220865,-0.00372139254701,10.8984467148,6.28106958587,6.28100963777,0.0,-0.0441960438344,-0.00928231170154,2.35574057222,-0.0373361591222,-0.0752606098337,0.0,506.8383232632537,505.02440356530866,505.3983526795834,505.3241239859668
0.9000000000000005,-0.0198930759499,-0.00433381725139,11.0441810946,6.2790989404,6.27712319053,0.0,-0.0415658890398,-0.0113587504738,2.50176241729,-0.0251077235892,-0.0493880209972,0.0,455.1084814784411,457.1713258533266,456.3950587133149,457.3695718851038
0.9600000000000005,-0.0222540197264,-0.00510186524675,11.1967917903,6.27860760215,6.27432106713,0.0,-0.0368471354164,-0.0143292073326,2.58507398463,0.0133336098893,-0.041810292694,0.0,436.7812649504652,437.41140919788546,436.57278107561353,439.7684880107349
1.0200000000000005,-0.0243074361879,-0.00603652190463,11.3511312799,6.27918480409,6.27187372896,0.0,-0.0313928646666,-0.0167677382175,2.55963152558,0.000905737658493,-0.0388213253468,0.0,401.36244634829615,401.63255913879584,402.98030602938366,401.85524057126065
1.0800000000000005,-0.0259521384016,-0.00712190120667,11.5074225456,6.28049007648,6.26975872546,0.0,-0.0232103244313,-0.0193251857747,2.64987030614,0.0462878260976,-0.0289251290211,0.0,439.4443626413895,440.2633336150811,438.5038116369234,442.2576765825017
1.1400000000000006,-0.0270523709262,-0.00832779128527,11.6700312939,0.000124313088325,6.26798434254,0.0,-0.0132837224097,-0.0205767819407,2.77013583646,0.0483651268165,-0.0309012049254,0.0,450.4368560115985,450.2767693839181,449.48656292208585,449.6561688516936
1.2000000000000006,-0.0275096619803,-0.00954798558375,11.8404498326,0.00266425986335,6.26623305384,0.0,-0.00177032311413,-0.0197986646666,2.91013325284,0.0261634811443,-0.0259655752908,0.0,456.5263457995391,456.91976164818084,457.4318167033731,455.66128630129657
